Clock name,Data type,Species,Predicts,Training target,Unit,Tissue,Platform,Population,Model type,N features,Year,Citations,Citations date,Last author,Journal,DOI,Notes,Preprocess,Postprocess,Reference values,Verified
cpgptgrimage3,DNA methylation,Homo sapiens,biological age | mortality risk,mortality,years,whole blood,Illumina 450K,adults,Cox proportional hazards regression,24,2024,30,2026-07-05,Bo Wang,bioRxiv,https://doi.org/10.1101/2024.10.24.619766,"CpGPTGrimAge3 implementation combining chronological age, GrimAge2 DNAm proxies, and CpGPT-predicted plasma-protein proxies in a Cox linear predictor that is calibrated to years.",scale,cox_to_years,,By authors
cpgptpcgrimage3,DNA methylation,Homo sapiens,biological age | mortality risk,mortality,years,whole blood,Illumina 450K,adults,PCA + Cox regression,31,2024,30,2026-07-05,Bo Wang,bioRxiv,https://doi.org/10.1101/2024.10.24.619766,"Principal-component CpGPTGrimAge3 implementation combining chronological age, GrimAge2 DNAm proxies, and CpGPT-predicted plasma-protein proxies; 30 proxy inputs are projected to 29 PCs, entered with age into a Cox linear predictor, and calibrated to years.",scale,cox_to_years,,By authors
dunedinpace,DNA methylation,Homo sapiens,pace of aging,pace of aging,biological years per chronological year,whole blood,Illumina EPIC,adults,elastic net regression,20000,2022,967,2026-07-05,Terrie E. Moffitt,eLife,https://doi.org/10.7554/elife.73420,"Whole-blood elastic-net pace-of-aging biomarker trained at age 45 against a 20-year longitudinal slope composite of 19 organ-system biomarkers. PyAging follows the official 20,000-probe quantile-normalization panel: 173 scoring CpGs plus 19,827 background probes.",quantile_normalization_with_gold_standard,,True,By authors
han,DNA methylation,Homo sapiens,chronological age,chronological age,years,whole blood,Illumina 450K,all ages,linear regression,65,2020,102,2026-07-05,Wolfgang Wagner,BMC Biology,https://doi.org/10.1186/s12915-020-00807-2,Whole-blood 65-CpG multivariable linear age predictor selected for robust targeted measurement; it fits Horvath-transformed chronological age and inverse-transforms the return to years.,,anti_log_linear,,By authors
knight,DNA methylation,Homo sapiens,gestational age,gestational age,weeks,cord blood | neonatal blood spots,Illumina 27K | Illumina 450K,newborns,elastic net regression,148,2016,312,2026-07-05,Alicia K. Smith,Genome Biology,https://doi.org/10.1186/s13059-016-1068-z,"Elastic-net DNA-methylation estimator of gestational age at birth trained across six cord-blood and neonatal blood-spot cohorts, using 148 CpGs shared across the 27K and 450K arrays.",,,True,By authors
leecontrol,DNA methylation,Homo sapiens,gestational age,gestational age,weeks,placenta,Illumina 450K | Illumina EPIC,pregnancies,elastic net regression,546,2019,170,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.102049,"Control placental clock trained on placentas designated as controls, with known major placental pathology excluded.",,,,By authors
leerefinedrobust,DNA methylation,Homo sapiens,gestational age,gestational age,weeks,placenta,Illumina 450K | Illumina EPIC,pregnancies,elastic net regression,395,2019,170,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.102049,Refined robust placental clock fitted within uncomplicated term pregnancies (gestational age >36 weeks) using the original RPC loci as candidates.,,,,By authors
leerobust,DNA methylation,Homo sapiens,gestational age,gestational age,weeks,placenta,Illumina 450K | Illumina EPIC,pregnancies,elastic net regression,558,2019,170,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.102049,Robust placental clock trained across placentas with and without pregnancy complications and congenital abnormalities.,,,,By authors
pasta,transcriptomics,Homo sapiens,transcriptomic age,age ordering,years,multi-tissue,RNA-seq | gene expression microarray,"human, age unspecified",ridge logistic regression,8113,2025,1,2026-07-05,Christian G. Riedel,bioRxiv,https://doi.org/10.1101/2025.06.04.657785,Human Pasta age-shift classifier applied to within-sample rank-transformed expression. It converts a ridge-logistic older-versus-younger log-odds score to an age score.,median_fill_and_rank_normalization,scale_and_shift,True,By authors
pastamouse,transcriptomics,Mus musculus,transcriptomic age,age ordering,years,multi-tissue,RNA-seq | gene expression microarray,"human, age unspecified",orthologue-transferred ridge logistic regression,1600,2025,1,2026-07-05,Christian G. Riedel,bioRxiv,https://doi.org/10.1101/2025.06.04.657785,"Mouse application of the human Pasta model after mapping one-to-one orthologues, rank transformation, and median imputation of missing model genes.",median_fill_and_rank_normalization,scale_and_shift,True,By authors
pipekelasticnet,DNA methylation,Homo sapiens,chronological age,chronological age,years,multi-tissue,Illumina 27K | Illumina 450K | Illumina EPIC,all ages,elastic net regression,239,2022,2,2026-07-05,István Csabai,Journal of Mathematical Chemistry,https://doi.org/10.1007/s10910-022-01381-4,"Pan-tissue, cross-platform elastic-net chronological-age clock trained on all eligible CpGs; 239 CpGs retained non-zero coefficients.",,anti_log_linear,,By authors
pipekfilteredh,DNA methylation,Homo sapiens,chronological age,chronological age,years,multi-tissue,Illumina 27K | Illumina 450K | Illumina EPIC,all ages,elastic net regression,272,2022,2,2026-07-05,István Csabai,Journal of Mathematical Chemistry,https://doi.org/10.1007/s10910-022-01381-4,Penalized refit restricted to the 308 original Horvath CpGs shared with the study probe set; 272 CpGs retained non-zero coefficients.,,anti_log_linear,,By authors
pipekretrainedh,DNA methylation,Homo sapiens,chronological age,chronological age,years,multi-tissue,Illumina 27K | Illumina 450K | Illumina EPIC,all ages,linear regression,308,2022,2,2026-07-05,István Csabai,Journal of Mathematical Chemistry,https://doi.org/10.1007/s10910-022-01381-4,"Unpenalized refit of all 308 original Horvath CpGs shared across 27K, 450K, and EPIC data; unlike the other variants it was fit without cross-validation.",,anti_log_linear,,By authors
reg,transcriptomics,Homo sapiens,chronological age,chronological age,years,multi-tissue,RNA-seq | gene expression microarray,"human, age unspecified",ridge regression,8113,2025,1,2026-07-05,Christian G. Riedel,bioRxiv,https://doi.org/10.1101/2025.06.04.657785,"Baseline chronological-age regression model from the Pasta study, using rank-transformed multi-tissue human expression.",median_fill_and_rank_normalization,add_constant,True,By authors
stemtoc,DNA methylation,Homo sapiens,mitotic age,population doublings | chronological age,beta value,multi-tissue | cultured human cells | whole blood,Illumina 450K | Illumina EPIC,all ages,95th-percentile methylation aggregation,371,2024,24,2026-07-05,Andrew E. Teschendorff,Nature Communications,https://doi.org/10.1038/s41467-024-48649-8,Relative mitotic-age counter based on the 95th percentile across 371 in-vivo-filtered mitotic CpGs.,0.95 quantile,,True,By authors
stoch,DNA methylation,Homo sapiens,chronological age,chronological age,years,sorted monocytes,Illumina 450K,adults,elastic net regression,353,2024,66,2026-07-05,Andrew E. Teschendorff,Nature Aging,https://doi.org/10.1038/s43587-024-00600-8,"Stochastic chronological-age clock built from simulated methylation trajectories at the Horvath clock CpGs; it is a stochastic counterpart, not the original Horvath clock.",,,,By authors
stocp,DNA methylation,Homo sapiens,chronological age,chronological age,years,sorted monocytes,Illumina 450K,adults,elastic net regression,513,2024,66,2026-07-05,Andrew E. Teschendorff,Nature Aging,https://doi.org/10.1038/s43587-024-00600-8,"Stochastic chronological-age clock built from simulated methylation trajectories at PhenoAge CpGs; despite its CpG source, its fitted outcome and returned construct are chronological age, not PhenoAge.",,,,By authors
stocz,DNA methylation,Homo sapiens,chronological age,chronological age,years,sorted monocytes,Illumina 450K,adults,elastic net regression,514,2024,66,2026-07-05,Andrew E. Teschendorff,Nature Aging,https://doi.org/10.1038/s43587-024-00600-8,"Stochastic chronological-age clock built from simulated methylation trajectories at Zhang clock CpGs; it is a stochastic counterpart, not the original Zhang clock.",,,,By authors
thompson,DNA methylation,Mus musculus,chronological age,chronological age,months,adipose tissue | blood | cerebellum | brain cortex | heart | kidney | liver | lung | skeletal muscle | spleen,RRBS,mice,elastic net regression,582,2018,236,2026-07-05,Matteo Pellegrini,Aging (Albany NY),https://doi.org/10.18632/aging.101590,"Full-lifespan multi-tissue mouse DNA-methylation clock fit by elastic net to RRBS CpG methylation across 1,147 samples from ten tissues and multiple strains; the 582-site all-CpG model estimates chronological age and detects intervention- and genotype-associated age acceleration.",,,,By authors
abec,DNA methylation,Homo sapiens,chronological age,chronological age,years,whole blood,Illumina EPIC,adults,elastic net regression,1695,2020,21,2026-07-05,Jon Bohlin,BMC Genomics,https://doi.org/10.1186/s12864-020-07168-8,"Adult Blood-based EPIC Clock trained by elastic-net regression of chronological age on whole-blood EPIC methylation in 1,592 MoBa-START adults aged 19–59 years.",,,,Not yet
adbahadosingh,DNA methylation,Homo sapiens,late-onset Alzheimer's disease,late-onset Alzheimer's disease,probability,whole blood,Illumina EPIC,older adults,logistic regression,4,2021,33,2026-07-05,Uppala Radhakrishna,PLOS ONE,https://doi.org/10.1371/journal.pone.0248375,PyAging implements the paper’s conventional four-CpG logistic-regression equation and applies a sigmoid to return LOAD case probability; it does not implement the separate high-dimensional deep-learning classifiers also evaluated in the paper.,,sigmoid,,Not yet
bocklandt,DNA methylation,Homo sapiens,EDARADD methylation,chronological age,beta value,saliva,Illumina 27K,adults,single-CpG score,1,2011,1057,2026-07-05,Éric Vilain,PLoS ONE,https://doi.org/10.1371/journal.pone.0014821,"Package-facing one-CpG identity score: pyaging returns raw cg09809672 methylation with coefficient 1 and zero intercept. The published saliva age regression instead uses EDARADD and NPTX2, including an EDARADD-squared basis term; that published age model is not implemented.",,,,Not yet
bohlin,DNA methylation,Homo sapiens,gestational age,gestational age,weeks,cord blood,Illumina 450K,newborns,LASSO regression,251,2016,237,2026-07-05,Wenche Nystad,Genome Biology,https://doi.org/10.1186/s13059-016-1063-4,Official minimum-lambda variant of the Bohlin gestational-age LASSO: pyaging implements the 251-CpG lambda.min model and converts its day-scale output to weeks. The paper/package default one-standard-error variant uses 96 CpGs and has nearly identical predictive performance.,,days_to_weeks,,Not yet
cabec,DNA methylation,Homo sapiens,chronological age,chronological age,years,whole blood,Illumina 450K | Illumina EPIC,adults,elastic net regression,1892,2020,21,2026-07-05,Jon Bohlin,BMC Genomics,https://doi.org/10.1186/s12864-020-07168-8,Common Adult Blood-based EPIC Clock trained on the extended adult whole-blood dataset but restricted to autosomal CpGs shared by the Illumina 450K and EPIC arrays.,,,,Not yet
cellpopage,DNA methylation,Homo sapiens,cell-population passage age,cell passage number,passages,cultured fibroblasts,Illumina EPIC,human cell cultures,elastic net regression,42,2024,6,2026-07-05,Ivana Bjedov,Genome Medicine,https://doi.org/10.1186/s13073-024-01349-w,CellPopAge is an elastic-net DNA-methylation clock using 42 selected CpGs to predict passage-based age of serially cultured adult primary human fibroblast populations and screen compounds that decelerate this measure.,,,,Not yet
compil6,DNA methylation,Homo sapiens,interleukin-6,interleukin-6,unitless,whole blood,Illumina 450K,older adults,elastic net regression,35,2021,55,2026-07-05,Riccardo E. Marioni,The Journals of Gerontology: Series A,https://doi.org/10.1093/gerona/glab046,"Thirty-five-CpG whole-blood proxy score for persistent IL-6-related inflammatory burden, fitted against covariate-adjusted normalized plasma IL-6.",,,,Not yet
corticalclock,DNA methylation,Homo sapiens,chronological age,chronological age,years,brain cortex,Illumina 450K,"human, age unspecified",elastic net regression,347,2020,206,2026-07-05,Jonathan Mill,Brain,https://doi.org/10.1093/brain/awaa334,"Cortex-specific DNA-methylation chronological-age estimator trained by elastic net on 1,047 post-mortem cortical samples; its 347-CpG weighted score is back-transformed to years.",,anti_log_linear,True,Not yet
ctsliver,DNA methylation,Homo sapiens,chronological age,chronological age,years,liver,Illumina EPIC,adults,LASSO regression,90,2024,25,2026-07-05,Andrew E. Teschendorff,Aging,https://doi.org/10.18632/aging.206184,"LiverClock is a liver tissue-specific chronological-age clock trained by lasso on age-associated CpGs identified after adjustment for five estimated liver cell fractions; unlike HepClock, it is not hepatocyte-specific.",,,,Not yet
cvdwesterman,DNA methylation,Homo sapiens,cardiovascular disease risk,cardiovascular disease,probability,whole blood,Illumina 450K,adults,elastic net Cox ensemble,235,2020,53,2026-07-05,José M. Ordovás,Journal of the American Heart Association,https://doi.org/10.1161/jaha.119.015299,Whole-blood DNA-methylation score for cardiovascular risk. The paper's final cross-study learner stacks cohort-specific elastic-net Cox models; the packaged pyaging implementation is a 235-CpG linear score followed by a sigmoid.,,sigmoid,,Not yet
deconvolutebloodepicbcell,DNA methylation,Homo sapiens,B cell proportion,cell-type-specific methylation contrast,proportion,purified blood leukocytes,Illumina EPIC,adults,reference-based constrained deconvolution,600,2018,13,2026-07-05,Brock C. Christensen,Genome Biology,https://doi.org/10.1186/s13059-018-1448-7,"Reference-based constrained deconvolution returning the B cell proportion from EPIC-array blood methylation. Pyaging uses the paper's automatic 600-CpG top-hypermethylated/top-hypomethylated reference, not the paper's preferred 450-CpG EPIC IDOL library.",fill_with_reference_means,,True,Not yet
deconvolutebloodepiccd4tcell,DNA methylation,Homo sapiens,CD4+ T cell proportion,cell-type-specific methylation contrast,proportion,purified blood leukocytes,Illumina EPIC,adults,reference-based constrained deconvolution,600,2018,13,2026-07-05,Brock C. Christensen,Genome Biology,https://doi.org/10.1186/s13059-018-1448-7,"Reference-based constrained deconvolution returning the CD4+ T cell proportion from EPIC-array blood methylation. Pyaging uses the paper's automatic 600-CpG top-hypermethylated/top-hypomethylated reference, not the paper's preferred 450-CpG EPIC IDOL library.",fill_with_reference_means,,True,Not yet
deconvolutebloodepiccd8tcell,DNA methylation,Homo sapiens,CD8+ T cell proportion,cell-type-specific methylation contrast,proportion,purified blood leukocytes,Illumina EPIC,adults,reference-based constrained deconvolution,600,2018,13,2026-07-05,Brock C. Christensen,Genome Biology,https://doi.org/10.1186/s13059-018-1448-7,"Reference-based constrained deconvolution returning the CD8+ T cell proportion from EPIC-array blood methylation. Pyaging uses the paper's automatic 600-CpG top-hypermethylated/top-hypomethylated reference, not the paper's preferred 450-CpG EPIC IDOL library.",fill_with_reference_means,,True,Not yet
deconvolutebloodepicmonocyte,DNA methylation,Homo sapiens,monocyte proportion,cell-type-specific methylation contrast,proportion,purified blood leukocytes,Illumina EPIC,adults,reference-based constrained deconvolution,600,2018,13,2026-07-05,Brock C. Christensen,Genome Biology,https://doi.org/10.1186/s13059-018-1448-7,"Reference-based constrained deconvolution returning the monocyte proportion from EPIC-array blood methylation. Pyaging uses the paper's automatic 600-CpG top-hypermethylated/top-hypomethylated reference, not the paper's preferred 450-CpG EPIC IDOL library.",fill_with_reference_means,,True,Not yet
deconvolutebloodepicneutrophil,DNA methylation,Homo sapiens,neutrophil proportion,cell-type-specific methylation contrast,proportion,purified blood leukocytes,Illumina EPIC,adults,reference-based constrained deconvolution,600,2018,13,2026-07-05,Brock C. Christensen,Genome Biology,https://doi.org/10.1186/s13059-018-1448-7,"Reference-based constrained deconvolution returning the neutrophil proportion from EPIC-array blood methylation. Pyaging uses the paper's automatic 600-CpG top-hypermethylated/top-hypomethylated reference, not the paper's preferred 450-CpG EPIC IDOL library.",fill_with_reference_means,,True,Not yet
deconvolutebloodepicnkcell,DNA methylation,Homo sapiens,natural killer cell proportion,cell-type-specific methylation contrast,proportion,purified blood leukocytes,Illumina EPIC,adults,reference-based constrained deconvolution,600,2018,13,2026-07-05,Brock C. Christensen,Genome Biology,https://doi.org/10.1186/s13059-018-1448-7,"Reference-based constrained deconvolution returning the natural killer (NK) cell proportion from EPIC-array blood methylation. Pyaging uses the paper's automatic 600-CpG top-hypermethylated/top-hypomethylated reference, not the paper's preferred 450-CpG EPIC IDOL library.",fill_with_reference_means,,True,Not yet
depressionbarbu,DNA methylation,Homo sapiens,major depressive disorder,major depressive disorder,unitless,whole blood,Illumina EPIC,adults,elastic net regression,196,2021,93,2026-07-05,Andrew M. McIntosh,Molecular Psychiatry,https://doi.org/10.1038/s41380-020-0808-3,"Blood methylation risk score for major depressive disorder built with penalised regression on genome-wide EPIC-array CpGs, trained on over 1,200 cases and 1,800 controls. Discriminates prevalent from incident MDD independently of polygenic risk, with a smoking-independent variant also derived.",,,,Not yet
dnamfili,DNA methylation,Homo sapiens,frailty risk,frailty,unitless,whole blood,Illumina EPIC | Illumina 450K,older adults,LASSO regression,20,2022,22,2026-07-05,Hermann Brenner,Nature Communications,https://doi.org/10.1038/s41467-022-32893-x,"Epigenetic frailty risk score (eFRS), a weighted 20-CpG whole-blood DNA-methylation score selected by LASSO from replicated frailty-associated loci.",,,,Not yet
dnamfitage,DNA methylation,Homo sapiens,physical-fitness biological age,biological age,years,whole blood,Illumina 450K,adults,Klemera–Doubal composite,630,2023,99,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204538,"Sex-specific Klemera–Doubal biological-age composite combining DNAm gait speed, grip strength, VO2max, and DNAmGrimAge.",,,True,Not yet
dnamfitagegaitf,DNA methylation,Homo sapiens,gait speed,gait speed,meters per second,whole blood,Illumina 450K,adult women,LASSO regression,53,2023,99,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204538,Female-specific blood DNAm gait-speed estimator without chronological age as an input.,,,True,Not yet
dnamfitagegaitm,DNA methylation,Homo sapiens,gait speed,gait speed,meters per second,whole blood,Illumina 450K,adult men,LASSO regression,59,2023,99,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204538,Male-specific blood DNAm gait-speed estimator without chronological age as an input.,,,True,Not yet
dnamfitagegripf,DNA methylation,Homo sapiens,grip strength,grip strength,kilograms,whole blood,Illumina 450K,adult women,LASSO regression,91,2023,99,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204538,Female-specific blood DNAm maximum-handgrip-strength estimator without chronological age as an input.,,,True,Not yet
dnamfitagegripm,DNA methylation,Homo sapiens,grip strength,grip strength,kilograms,whole blood,Illumina 450K,adult men,LASSO regression,93,2023,99,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204538,Male-specific blood DNAm maximum-handgrip-strength estimator without chronological age as an input.,,,True,Not yet
dnamfitagevo2max,DNA methylation,Homo sapiens,VO2max,VO2max,milliliters per kilogram per minute,whole blood,Illumina 450K,adults,LASSO regression,41,2023,99,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.204538,Joint-sex blood DNAm estimator of maximal oxygen uptake; 40 CpGs plus chronological age are packaged as 41 inputs.,,,True,Not yet
dnamic,DNA methylation,Homo sapiens,intrinsic capacity,intrinsic capacity,unitless,whole blood,Illumina EPIC,older adults,elastic net regression,91,2025,34,2026-07-05,David Furman,Nature Aging,https://doi.org/10.1038/s43587-025-00883-5,"Whole-blood DNA-methylation predictor of intrinsic capacity, an average score across cognition, locomotion, psychological, sensory, and vitality domains; trained with tenfold cross-validated elastic net on INSPIRE-T and returning higher values for better capacity.",,,,Not yet
dnamphenoage,DNA methylation,Homo sapiens,phenotypic age,phenotypic age,years,whole blood,Illumina 27K | Illumina 450K | Illumina EPIC,adults,elastic net regression,513,2018,3594,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.101414,"Blood DNA-methylation estimator trained by elastic net on 513 CpGs common to the 27K, 450K and EPIC arrays to reproduce a mortality-derived clinical Phenotypic Age.",,,,Not yet
dnamstress,DNA methylation,Homo sapiens,stress exposure,stress exposure,unitless,whole blood,Illumina EPIC,adults,bootstrap-stabilized elastic net regression,211,2023,27,2026-07-05,Falk W. Lohoff,Biological Psychiatry,https://doi.org/10.1016/j.biopsych.2022.06.036,Whole-blood methylation score (MS stress) derived as a 211-CpG proxy for a composite of 13 stress-related measures.,,,,Not yet
dnamtl,DNA methylation,Homo sapiens,leukocyte telomere length,leukocyte telomere length,kilobases,whole blood,Illumina 450K | Illumina EPIC,adults,elastic net regression,140,2019,461,2026-07-05,Steve Horvath,Aging,https://doi.org/10.18632/aging.102173,"Elastic-net blood DNA-methylation estimator of measured leukocyte telomere length, using 140 CpGs shared by the Illumina 450K and EPIC arrays and returning kilobases.",,,,Not yet
downsyndrome,DNA methylation,Homo sapiens,Down syndrome methylation score,not applicable,unitless,neonatal blood spots,Illumina EPIC,newborns,weighted linear score,652,2021,62,2026-07-05,Adam J. de Smith,Nature Communications,https://doi.org/10.1038/s41467-021-21064-z,"Implementation-derived Down-syndrome-associated methylation projection score: pyaging computes a zero-intercept weighted sum of 652 neonatal blood-spot beta values using the paper's autosomal EWAS beta_overall effect estimates. The paper presents an EWAS, not a trained or validated Down syndrome classifier.",,,,Not yet
dunedinpoam38,DNA methylation,Homo sapiens,pace of aging,pace of aging,biological years per chronological year,whole blood,Illumina 450K,adults,elastic net regression,46,2020,666,2026-07-05,Terrie E. Moffitt,eLife,https://doi.org/10.7554/elife.54870,"Whole-blood elastic-net estimator of the rate of biological aging, trained at age 38 against a longitudinal 18-biomarker Pace-of-Aging composite measured over ages 26–38.",,,,Not yet
eabec,DNA methylation,Homo sapiens,chronological age,chronological age,years,whole blood,Illumina EPIC,adults,elastic net regression,1791,2020,21,2026-07-05,Jon Bohlin,BMC Genomics,https://doi.org/10.1186/s12864-020-07168-8,Extended Adult Blood-based EPIC Clock trained by elastic-net regression on combined MoBa-START and GEO adult whole-blood EPIC methylation data.,,,,Not yet
encen100,DNA methylation,Homo sapiens,chronological age,chronological age,years,whole blood | saliva | buccal epithelium,Illumina 450K | Illumina EPIC,centenarians,elastic net regression,198,2023,45,2026-07-05,Steve Horvath,GeroScience,https://doi.org/10.1007/s11357-023-00731-7,Elastic-net DNAm-age clock trained only in 184 centenarians aged 100–115; the authors advise against routine use but identify possible utility for evaluating supercentenarians.,,,,Not yet
encen40,DNA methylation,Homo sapiens,chronological age,chronological age,years,whole blood | saliva | buccal epithelium,Illumina 450K | Illumina EPIC,older adults,elastic net regression,559,2023,45,2026-07-05,Steve Horvath,GeroScience,https://doi.org/10.1007/s11357-023-00731-7,"Elastic-net DNAm-age clock trained in 7,039 people aged 40–115, including centenarians, to reduce extreme-old-age underestimation.",,,,Not yet
ensembleagehumanmouse,DNA methylation,Homo sapiens and Mus musculus,relative age,relative age,relative age,multi-tissue | whole blood,mammalian methylation array,humans and mice,elastic net regression,100,2025,3,2026-07-05,Steve Horvath,GeroScience,https://doi.org/10.1007/s11357-025-01808-1,Cross-species static EnsembleAge model trained on merged human and mouse methylation data; age is normalized by species maximum lifespan.,,,,Not yet
ensembleagestatic,DNA methylation,Mus musculus,intervention-responsive epigenetic age,intervention-responsive epigenetic age,years,multi-tissue,Horvath MammalMethylChip40 | Horvath MammalMethylChip320,mice,elastic net regression,288,2025,3,2026-07-05,Steve Horvath,GeroScience,https://doi.org/10.1007/s11357-025-01808-1,"Single elastic-net static predictor of the median EnsembleAge.Dynamic calibrated age, trained on perturbed MethylGauge mice.",,,,Not yet
ensembleagestatictop,DNA methylation,Mus musculus,intervention-responsive epigenetic age,intervention-responsive epigenetic age,years,multi-tissue,Horvath MammalMethylChip40 | Horvath MammalMethylChip320,mice,elastic net regression,431,2025,3,2026-07-05,Steve Horvath,GeroScience,https://doi.org/10.1007/s11357-025-01808-1,"Static.Top is a single elastic-net predictor of the calibrated age from the most intervention-responsive constituent clock, trained on perturbed MethylGauge mice.",,,,Not yet
epicga,DNA methylation,Homo sapiens,gestational age,gestational age,days,cord blood,Illumina EPIC,newborns,LASSO regression,176,2021,54,2026-07-05,Jon Bohlin,Clinical Epigenetics,https://doi.org/10.1186/s13148-021-01055-z,"LASSO predictor of ultrasound-estimated gestational age in days from umbilical cord-blood DNA methylation, trained in 755 non-ART START newborns.",,days_to_weeks,,Not yet
epicmithyper,DNA methylation,Homo sapiens,mitotic age,replicative history,proportion,B cells,Illumina 450K | Illumina EPIC,"human, age unspecified",mean methylation aggregation,184,2020,104,2026-07-05,José I. Martín-Subero,Nature Cancer,https://doi.org/10.1038/s43018-020-00131-2,Hypermethylation component of epiCMIT: a 184-CpG score ranging from 0 to 1 that tracks low-to-high relative proliferative history in normal and neoplastic B cells.,mean,,True,Not yet
